Regiao,Classe,Quantidade,Media,Mediana,Moda,Maior_Consumo,Menor_Consumo
Centro-Oeste,Comercial,716,190799.42438547488,44565.0,90.0,648720.0,2.0
Centro-Oeste,Industrial,740,244709.55096621622,197674.909,48.0,947996.804,-10.0
Centro-Oeste,Outros,694,125927.13764697405,4552.0,31.0,413091.96900000016,11.045000000000002
Centro-Oeste,Residencial,491,458792.82644195517,502174.299,162.0,1581609.509,23.472
Centro-Oeste,Rural,596,106138.1635704698,17737.805,20.0,400716.18,9.725
Nordeste,Comercial,1179,221873.07959117898,60073.982,452.0,1086843.0,0.0
Nordeste,Industrial,1284,437539.9248341121,203444.10950000002,12.0,1810777.1510000003,-100.0
Nordeste,Outros,967,214191.50948086867,70802.0,261.0,891849.545,11.02
Nordeste,Residencial,809,640739.9460469716,203137.0,290.0,2810350.359,0.219
Nordeste,Rural,985,98778.71579695432,9363.733,7.0,569247.538,0.0
Norte,Comercial,1085,85789.27336682027,63627.998,1847.0,334937.0,6.0
Norte,Industrial,1178,258438.36937436336,78240.902,4176.0,1471263.432,921.0
Norte,Outros,843,85771.93552313167,55223.66099999999,181.0,259602.245,0.0
Norte,Residencial,707,247593.0740424328,176488.598,108112.0,924109.107,2.018
Norte,Rural,870,19972.1054954023,17034.955,0.0,60147.97900000001,-221.0
Sudeste,Comercial,516,1780326.0447034885,2143930.0535000004,24266.51,4128959.0,24266.51
Sudeste,Industrial,516,3954101.2168236435,3649146.4545,396042.574,8262566.295999999,396042.574
Sudeste,Outros,516,898129.7567751937,921540.0520000003,4521.183,1840601.238,4521.183
Sudeste,Residencial,359,3722805.8315988854,4722642.0,262.0,7598462.275,-685.35
Sudeste,Rural,386,427450.8120388601,506491.0,0.0,1008349.799,0.0
Sul,Comercial,494,595264.5542793523,698842.231,5581.0,1476571.0,1020.0
Sul,Industrial,516,1307255.5534244187,1320678.5,181460.851,2978793.9960000003,181460.851
Sul,Outros,413,315745.5280217918,425298.0,137.0,597502.0,110.555
Sul,Residencial,275,1578657.8662290908,1627834.0,-128.156,3076026.2,-128.156
Sul,Rural,473,382429.868460888,400474.0,765.0,1031536.19,265.0
