Sistema,TipoConsumidor,Quantidade,Media,Mediana,Moda,Maior_Consumo,Menor_Consumo
NORDESTE,Cativo,1290,903536.0352992248,772855.1535,90284.648,2810350.359,90284.648
NORDESTE,Livre,758,352736.06654881267,121870.29200000002,0.0,1810777.1510000003,0.0
NORTE INTERLIGADO,Cativo,2580,143552.12989534883,92506.6975,19160.0,924109.107,5793.0
NORTE INTERLIGADO,Livre,1272,266507.91726100625,34432.8465,194.0,1471263.432,-221.0
SISTEMAS ISOLADOS,Cativo,3700,29138.553875405407,739.0,12.0,262437.0,-100.0
SISTEMAS ISOLADOS,Livre,144,2037.8559236111114,214.0,0.0,5202.0,0.0
SUDESTE / CENTRO - OESTE,Cativo,3520,1072207.293912784,393895.3995,33753.0,7598462.275,11255.032
SUDESTE / CENTRO - OESTE,Livre,2173,874986.414488265,89362.55799999999,0.0,8262566.295999999,-685.35
SUL,Cativo,1290,982939.5807534883,843833.202,301218.758,3076026.2,301218.758
SUL,Livre,881,506283.3601328036,104653.028,137.0,2978793.9960000003,-128.156
