Data,DataExcel,Regiao,Sistema,Classe,TipoConsumidor,Consumo,Consumidores,DataVersao
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,385914.88399999996,496190,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,247975.715,3499,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,65351.837999999996,29810,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,902006.2420000001,1305,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,318840.874,64815,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Livre,59127.632,633,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,1266966.611,6549013,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,165.0,15,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Rural,Cativo,356600.032,502320,2025-07-21
20250601,2025-06-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Rural,Livre,27972.48,308,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Comercial,Cativo,618665.085,1294666,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Comercial,Livre,548346.233,6838,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Industrial,Cativo,93263.106,32428,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Industrial,Livre,1734301.608,2659,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Outros,Cativo,711145.266,267564,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Outros,Livre,219114.75899999996,1150,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Residencial,Cativo,2504589.717,20277706,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Residencial,Livre,100.61,5,2025-07-21
20250601,2025-06-01,Nordeste,NORDESTE,Rural,Cativo,465057.81000000006,982333,2025-07-21
