Data,DataExcel,SetorIndustrial,Regiao,Consumo,DataVersao
20250601,2025-06-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,Centro-Oeste,1.005,2025-07-21
20250601,2025-06-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,Nordeste,42.554,2025-07-21
20250601,2025-06-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,Norte,26.34,2025-07-21
20250601,2025-06-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,Sudeste,13795.689999999999,2025-07-21
20250601,2025-06-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,Sul,4551.039,2025-07-21
20250601,2025-06-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Centro-Oeste,1.1780000000000002,2025-07-21
20250601,2025-06-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Nordeste,96591.848,2025-07-21
20250601,2025-06-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Norte,77.761,2025-07-21
20250601,2025-06-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Sudeste,11480.699999999999,2025-07-21
20250601,2025-06-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Sul,2296.328,2025-07-21
20250601,2025-06-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,Centro-Oeste,73084.935,2025-07-21
20250601,2025-06-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,Nordeste,120736.507,2025-07-21
20250601,2025-06-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,Norte,294236.78,2025-07-21
20250601,2025-06-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,Sudeste,730539.083,2025-07-21
20250601,2025-06-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,Sul,790.622,2025-07-21
20250601,2025-06-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Centro-Oeste,74156.79699999999,2025-07-21
20250601,2025-06-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Nordeste,48981.231,2025-07-21
20250601,2025-06-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Norte,21972.180999999997,2025-07-21
20250601,2025-06-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Sudeste,123629.23899999999,2025-07-21
20250601,2025-06-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Sul,31358.037,2025-07-21
20250601,2025-06-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,Centro-Oeste,516.39,2025-07-21
20250601,2025-06-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,Nordeste,21719.222,2025-07-21
20250601,2025-06-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,Norte,2257.737,2025-07-21
20250601,2025-06-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,Sudeste,2969.183,2025-07-21
