Ano,Regiao,Classe,Consumo
1970,Norte,Residencial,173000
1971,Norte,Residencial,201000
1972,Norte,Residencial,241000
1973,Norte,Residencial,281000
1974,Norte,Residencial,329000
1975,Norte,Residencial,362000
1976,Norte,Residencial,406178
1977,Norte,Residencial,470715
1978,Norte,Residencial,555179
1979,Norte,Residencial,669890
1980,Norte,Residencial,764395
1981,Norte,Residencial,677503
1982,Norte,Residencial,775857
1983,Norte,Residencial,914184
1984,Norte,Residencial,948908
1985,Norte,Residencial,1035683
1986,Norte,Residencial,1226725
1987,Norte,Residencial,1420666
1988,Norte,Residencial,1515075
1989,Norte,Residencial,1723119
1970,Nordeste,Residencial,917000
1971,Nordeste,Residencial,858000
1972,Nordeste,Residencial,923000
1973,Nordeste,Residencial,1036000
1974,Nordeste,Residencial,1200000
1975,Nordeste,Residencial,1347000
1976,Nordeste,Residencial,1542083
1977,Nordeste,Residencial,1821028
1978,Nordeste,Residencial,2088152
1979,Nordeste,Residencial,2412402
1980,Nordeste,Residencial,2669902
1981,Nordeste,Residencial,3005920
1982,Nordeste,Residencial,3401372
1983,Nordeste,Residencial,3847776
1984,Nordeste,Residencial,3980614
1985,Nordeste,Residencial,4261694
1986,Nordeste,Residencial,4846915
1987,Nordeste,Residencial,4826468
1988,Nordeste,Residencial,5272260
1989,Nordeste,Residencial,5931082
1970,Centro-Oeste,Residencial,235000
1971,Centro-Oeste,Residencial,249000
1972,Centro-Oeste,Residencial,284000
1973,Centro-Oeste,Residencial,340000
1974,Centro-Oeste,Residencial,420000
1975,Centro-Oeste,Residencial,494000
1976,Centro-Oeste,Residencial,585374
1977,Centro-Oeste,Residencial,688121
1978,Centro-Oeste,Residencial,809346
1979,Centro-Oeste,Residencial,950008
1980,Centro-Oeste,Residencial,1094271
1981,Centro-Oeste,Residencial,1220501
1982,Centro-Oeste,Residencial,1374746
1983,Centro-Oeste,Residencial,1557314
1984,Centro-Oeste,Residencial,1699835
1985,Centro-Oeste,Residencial,1875425
1986,Centro-Oeste,Residencial,2148519
1987,Centro-Oeste,Residencial,2412735
1988,Centro-Oeste,Residencial,2597128
1989,Centro-Oeste,Residencial,2737422
1970,Sul,Residencial,950000
1971,Sul,Residencial,1046000
1972,Sul,Residencial,1140000
1973,Sul,Residencial,1254000
1974,Sul,Residencial,1460000
1975,Sul,Residencial,1637000
1976,Sul,Residencial,1836761
1977,Sul,Residencial,2128189
1978,Sul,Residencial,2316403
1979,Sul,Residencial,2611774
1980,Sul,Residencial,2992802
1981,Sul,Residencial,3338694
1982,Sul,Residencial,3705316
1983,Sul,Residencial,4136835
1984,Sul,Residencial,4464567
1985,Sul,Residencial,4816524
1986,Sul,Residencial,5045871
1987,Sul,Residencial,5676670
1988,Sul,Residencial,6098301
1989,Sul,Residencial,6671843
1970,Sudeste,Residencial,6090000
1971,Sudeste,Residencial,6874000
1972,Sudeste,Residencial,7344000
1973,Sudeste,Residencial,8032000
1974,Sudeste,Residencial,8611000
1975,Sudeste,Residencial,9370000
1976,Sudeste,Residencial,10440169
1977,Sudeste,Residencial,11978295
1978,Sudeste,Residencial,13114988
1979,Sudeste,Residencial,14309927
1980,Sudeste,Residencial,15662629
1981,Sudeste,Residencial,16717381
1982,Sudeste,Residencial,17808710
1983,Sudeste,Residencial,19285891
1984,Sudeste,Residencial,19829076
1985,Sudeste,Residencial,20634675
1986,Sudeste,Residencial,22478969
1987,Sudeste,Residencial,24006460
1988,Sudeste,Residencial,25053236
1989,Sudeste,Residencial,26591534
1970,Norte,Industrial,75025
1971,Norte,Industrial,86871
1972,Norte,Industrial,110625
1973,Norte,Industrial,149227
1974,Norte,Industrial,184918
1975,Norte,Industrial,231388
1976,Norte,Industrial,315228
1977,Norte,Industrial,351016
1978,Norte,Industrial,408330
1979,Norte,Industrial,459907
1980,Norte,Industrial,556877
1981,Norte,Industrial,406560
1982,Norte,Industrial,447907
1983,Norte,Industrial,516083
1984,Norte,Industrial,559608
1985,Norte,Industrial,835447
1986,Norte,Industrial,2414188
1987,Norte,Industrial,3350842
1988,Norte,Industrial,3458213
1989,Norte,Industrial,3800181
1970,Nordeste,Industrial,1355379
1971,Nordeste,Industrial,1472855
1972,Nordeste,Industrial,1873705
1973,Nordeste,Industrial,2446932
1974,Nordeste,Industrial,2964617
1975,Nordeste,Industrial,3458960
1976,Nordeste,Industrial,4254085
1977,Nordeste,Industrial,4945594
1978,Nordeste,Industrial,5907507
1979,Nordeste,Industrial,6536902
1980,Nordeste,Industrial,7313257
1981,Nordeste,Industrial,7729479
1982,Nordeste,Industrial,8047719
1983,Nordeste,Industrial,9105386
1984,Nordeste,Industrial,11295068
1985,Nordeste,Industrial,13503590
1986,Nordeste,Industrial,15494805
1987,Nordeste,Industrial,14456098
1988,Nordeste,Industrial,15199288
1989,Nordeste,Industrial,15954551
1970,Centro-Oeste,Industrial,57256
1971,Centro-Oeste,Industrial,75025
1972,Centro-Oeste,Industrial,102723
1973,Centro-Oeste,Industrial,174922
1974,Centro-Oeste,Industrial,210628
