Data,DataExcel,Regiao,Classe,Consumo,Consumidores
19900101,32874,Centro-Oeste,Comercial,138203.0,0
19900101,32874,Centro-Oeste,Industrial,151652.0,0
19900101,32874,Centro-Oeste,Outros,123037.0,259143
19900101,32874,Centro-Oeste,Residencial,248024.0,1460579
19900101,32874,Centro-Oeste,Rural,25402.0,0
19900101,32874,Nordeste,Comercial,280679.0,0
19900101,32874,Nordeste,Industrial,1438683.0,0
19900101,32874,Nordeste,Outros,290105.0,817835
19900101,32874,Nordeste,Residencial,566019.0,5572164
19900101,32874,Nordeste,Rural,63890.0,0
19900101,32874,Norte,Comercial,85442.0,0
19900101,32874,Norte,Industrial,351751.0,0
19900101,32874,Norte,Outros,76184.0,141442
19900101,32874,Norte,Residencial,163004.0,993114
19900101,32874,Norte,Rural,2185.0,0
19900101,32874,Sudeste,Comercial,1254734.0,0
19900101,32874,Sudeste,Industrial,5409947.0,0
19900101,32874,Sudeste,Outros,1031561.0,2019678
19900101,32874,Sudeste,Residencial,2500005.0,13376813
19900101,32874,Sudeste,Rural,190774.0,0
19900101,32874,Sul,Comercial,304754.0,0
19900101,32874,Sul,Industrial,930643.0,0
19900101,32874,Sul,Outros,264579.0,1129392
19900101,32874,Sul,Residencial,612428.0,4030985
19900101,32874,Sul,Rural,277633.0,0
19900201,32905,Centro-Oeste,Comercial,130067.0,0
19900201,32905,Centro-Oeste,Industrial,149379.0,0
19900201,32905,Centro-Oeste,Outros,119209.0,258316
19900201,32905,Centro-Oeste,Residencial,244703.0,1465770
19900201,32905,Centro-Oeste,Rural,27112.0,0
19900201,32905,Nordeste,Comercial,270086.0,0
19900201,32905,Nordeste,Industrial,1369742.0,0
19900201,32905,Nordeste,Outros,286353.0,817209
19900201,32905,Nordeste,Residencial,518847.0,5594454
19900201,32905,Nordeste,Rural,71754.0,0
19900201,32905,Norte,Comercial,76292.0,0
19900201,32905,Norte,Industrial,326951.0,0
19900201,32905,Norte,Outros,74600.0,141843
19900201,32905,Norte,Residencial,149733.0,998492
19900201,32905,Norte,Rural,2139.0,0
19900201,32905,Sudeste,Comercial,1298389.0,0
19900201,32905,Sudeste,Industrial,5753866.0,0
19900201,32905,Sudeste,Outros,1046210.0,2017321
19900201,32905,Sudeste,Residencial,2371661.0,13403036
19900201,32905,Sudeste,Rural,221846.0,0
19900201,32905,Sul,Comercial,309646.0,0
19900201,32905,Sul,Industrial,981418.0,0
19900201,32905,Sul,Outros,245274.0,1129983
19900201,32905,Sul,Residencial,608063.0,4042580
19900201,32905,Sul,Rural,267248.0,0
19900301,32933,Centro-Oeste,Comercial,134975.0,0
19900301,32933,Centro-Oeste,Industrial,155573.0,0
19900301,32933,Centro-Oeste,Outros,127673.0,259483
19900301,32933,Centro-Oeste,Residencial,243969.0,1475481
19900301,32933,Centro-Oeste,Rural,28082.0,0
19900301,32933,Nordeste,Comercial,272809.0,0
19900301,32933,Nordeste,Industrial,1417702.0,0
19900301,32933,Nordeste,Outros,289516.0,823152
19900301,32933,Nordeste,Residencial,553939.0,5612836
19900301,32933,Nordeste,Rural,62465.0,0
19900301,32933,Norte,Comercial,78552.0,0
19900301,32933,Norte,Industrial,359228.0,0
19900301,32933,Norte,Outros,76894.0,142454
