Soma de Consumo,DataExcel,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
UF,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Total Geral
AC,96232.07100000001,90887.295,97753.24699999999,93723.43299999999,98917.86099999999,97587.894,99208.405,111051.74200000001,117116.96499999998,116602.49199999998,117852.44399999999,113008.09599999999,109814.054,104112.383,104085.379,114835.041,113443.61700000001,101218.02699999999,103117.05,109270.269,111170.54299999999,124272.01299999999,112883.16799999999,109749.316,108504.041,106317.581,105434.715,106820.082,113777.05700000002,3108766.281
AL,469346.617,430041.12100000004,475804.099,474164.162,459426.97400000005,444615.97000000003,399693.496,398214.32499999995,441572.71499999997,453900.1400000001,487945.716,499626.89900000003,510976.252,484099.3009999999,539348.7559999999,474724.403,460361.18299999996,427272.241,437674.653,460318.25100000005,458290.762,451738.399,490343.42500000005,541356.09,496516.394,477121.06999999995,502145.66199999995,481264.917,498810.481,13626714.474000003
AM,533209,497067,570246,562062,600753,596287,629670,679809,682470,680183,653955,598571,617702,622250,639772,638760,653774,636390,686656,723104,731287,735541,698210,642027,627254,610899,625800,637535,674173,18485416
AP,86295.02799999999,78650.10100000002,87422.47200000001,90204.45300000002,101781.177,99767.29900000001,102849.895,107499.75400000002,109182.93000000001,112289.108,126924.816,117726.31700000001,109608.29000000001,107713.974,107036.853,112317.91799999999,113105.84899999999,115322.644,116886.06500000002,125070.53099999999,130816.78800000002,132938.341,131422.574,122835.87500000003,111623.609,106793.064,103573.71900000001,111594.61499999999,111931.32700000002,3191185.3860000004
BA,2160398.21,2160697.4030000004,2317437.0689999997,2289126.128,2279320.6789999995,2213400.375,2105119.145,2204116.762,2284989.315,2304531.356,2376845.242,2430838.137,2399041.7399999993,2270269.5000000005,2307521.3310000002,2403355.686,2313720.8200000003,2350531.751,2275073.333,2272105.2669999995,2312206.063,2284010.5050000004,2399352.559,2359068.997,2286184.958,2273780.7029999997,2346158.765,2390043.8049999997,2355170.833,66724416.436999984
CE,1088174.953,1068528.807,1035435.563,1090198.527,1077502.364,1151609.838,1062372.641,1122452.253,1184033.267,1165718.169,1233597.3290000001,1167882.6559999997,1166096.986,1189586.127,1094891.81,1138228.4479999999,1181803.8339999998,1160132.6489999997,1131709.702,1180767.471,1183422.936,1180440.344,1250972.9449999998,1191833.5080000001,1214673.048,1166354.95,1125080.6880000003,1139769.417,1221829.303,33365100.533
DF,520127.77,530464.99,561423.77,550587.77,518144.77,543061.77,510807.77,537404.77,572029.77,596026.77,604826.77,605955.77,550659.471,564530.983,550704.0270000001,548624.4230000001,559344.555,559435.913,509100.198,530243.553,552742.3810000002,566541.499,567066.041,557184.228,506167,543253,571936,549810,544717,15982922.731999999
ES,896576.4569999999,913731.98,1057957.133,994578.642,933549.3219999999,910714.7599999999,899790.684,923531.3539999999,910834.797,1023329.7109999999,1047502.977,1126499.2729999998,1072327.834,998838.2589999998,1121381.6530000002,1095874.175,1102283.417,1015038.254,1079355.548,1041707.5170000001,1104105.694,1075462.305,996572.9839999999,1162238.6670000001,1122720.432,1151443.4409999999,1179957.25,1072921.631,1068014.808,30098840.959000003
GO,1429989.5920000002,1404409.976,1480691.3460000001,1570347.7660000003,1522783.832,1542877.819,1502444.05,1565876.852,1630144.752,1753598.343,1810995.2970000003,1791258.9150000003,1655495.538,1592102.9890000003,1642508.93,1667302.1520000002,1690110.858,1697839.429,1652789.0089999998,1665784.086,1728561.3730000001,1867675.796,1743867.3780000003,1706600.153,1632337.568,1640047.379,1722041.575,1774635.259,1698614.3579999998,47783732.370000005
