Soma de Consumo,Rótulos de Coluna,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Rótulos de Linha,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Total Geral
05 - EXTRAÇÃO DE CARVÃO MINERAL,4693.983,5086.077,5428.384,5359.128000000001,6226.454,16990.539,19203.978,17065.069,20742.328,19954.436,20370.294,17897.306999999997,13826.141,20414.362999999998,22130.725000000002,23091.573,26841.002000000004,22838.179,26098.054999999997,27177.846000000005,23067.17,23500.163999999993,19190.69,14240.911,18348.488999999998,19007.096999999998,20877.777,19229.533,19655.436999999998,518553.129
06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,109299.52100000001,86671.781,106026.68299999999,98098.43,103194.61700000001,103813.742,108955.379,114452.61699999998,111710.066,113832.657,107870.783,114679.299,115771.93799999998,110810.638,111016.693,120042.157,111249.08099999999,106122.081,104529.28799999999,109690.79200000002,108620.777,107787.09400000003,110461.35,113179.18699999999,110865.706,103941.359,105506.389,110146.468,112187.06299999998,3150533.636
07 - EXTRAÇÃO DE MINERAIS METÁLICOS,1101347.366,996585.672,1139503.5839999998,1103973.0160000003,1197595.065,1192146.689,1155128.9619999998,1193786.9429999997,1183868.475,1161054.2159999998,1154735.8029999998,1215281.2480000004,1171668.576,1095299.828,1127704.601,1121808.5950000002,1186198.691,1189238.6809999999,1275352.0499999998,1328053.889,1266717.73,1218947.7689999999,1226708.87,1296298.412,1220205.667,1117522.0369999998,1271281.6410000003,1291546.3139999998,1373691.8060000003,34573252.196
08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,242901.60700000002,237201.828,253116.25699999998,270982.904,284000.186,291888.98000000004,296492.913,303784.4,298820.56599999993,282770.1219999999,266975.814,247190.14300000004,242888.461,259835.07800000004,246436.598,270507.845,284915.079,287887.825,297016.62100000004,320268.8779999999,312248.70900000003,296948.16099999996,268556.20900000003,254823.51700000002,253136.274,248886.29700000002,258016.68400000007,275703.90499999997,293434.0399999999,7947635.9010000015
09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,10871.573,11233.442000000001,11452.191,13348.84,13301.733999999999,13565.142999999998,15589.915000000003,15731.821,15353.095000000001,15365.756,15508.905999999999,15126.582000000002,23576.88,23548.275,25827.113000000005,15719.165,25610.916000000005,26489.45,26424.782,27938.315,28401.229000000003,28156.766,29260.716,26971.662,25007.381000000005,24905.034,27993.036,27736.127,28132.738999999998,608148.5839999999
10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,2103402.941,2052408.3269999998,2132254.434,2122638.063,2082143.1969999997,2064909.666,2076029.9589999998,2170647.1729999995,2167065.418,2181683.4949999996,2204290.7970000003,2186466.3919999995,2175434.6170000006,2234479.2789999996,2229149.521,2277867.5889999997,2253197.1410000003,2197007.015,2193110.9979999997,2260252.359,2234719.546,2266397.3219999997,2303065.145,2269289.556,2271564.895,2264281.6909999996,2301422.2279999997,2312829.594,2306141.906,63894150.26400002
11 - FABRICAÇÃO DE BEBIDAS,271278.454,249815.76599999997,255567.013,252901.322,240418.81,230480.628,231946.43800000002,243457.096,253317.336,266213.361,275256.353,287591.42600000004,290626.033,283335.01300000004,277092.294,272872.698,264056.39900000003,253315.5,253303.70300000004,260769.707,263889.398,270176.691,277703.68700000003,278866.952,281622.73699999996,267227.355,272022.565,272122.746,263348.52,7660596.000999998
12 - FABRICAÇÃO DE PRODUTOS DO FUMO,11419.788,11987.751000000002,17649.62,25803.566,24691.356000000003,26529.985,23717.051000000003,21695.531000000003,19167.317,12241.054000000002,11358.726999999999,10667.925000000001,13202.236,13845.528,20829.789999999997,26545.042000000005,26696.588999999996,20963.563000000002,23569.447999999997,20107.192000000003,18475.935,14980.883000000002,12595.491,11783.765,11375.985000000002,13296.83,19194.984000000004,24713.184,25627.654,534733.77
13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,415746.53599999996,475704.936,514790.7640000001,517023.08199999994,496778.68599999987,510842.07,510407.57899999997,537781.66,539400.488,534380.539,526292.214,453079.774,414786.74100000004,476939.86499999993,513396.15,523730.97399999993,517918.011,512026.966,524924.716,551480.783,548985.938,545582.1699999999,546626.4800000001,461196.515,429928.7320000001,490427.395,521752.425,518186.95599999995,519452.13999999996,14649571.285000002
